,Energy_Price,Unit_Of_Measure,Date,Energy_ID,Energy_Type
451,49.3,"Index, 2014=100",1983-08,2,Fuel Oil
452,49.3,"Index, 2014=100",1983-09,2,Fuel Oil
453,49.3,"Index, 2014=100",1983-10,2,Fuel Oil
454,49.3,"Index, 2014=100",1983-11,2,Fuel Oil
455,49.3,"Index, 2014=100",1983-12,2,Fuel Oil
456,49.3,"Index, 2014=100",1984-01,2,Fuel Oil
457,49.3,"Index, 2014=100",1984-02,2,Fuel Oil
458,49.3,"Index, 2014=100",1984-03,2,Fuel Oil
459,49.3,"Index, 2014=100",1984-04,2,Fuel Oil
460,49.3,"Index, 2014=100",1984-05,2,Fuel Oil
461,49.3,"Index, 2014=100",1984-06,2,Fuel Oil
462,49.3,"Index, 2014=100",1984-07,2,Fuel Oil
463,49.3,"Index, 2014=100",1984-08,2,Fuel Oil
464,49.3,"Index, 2014=100",1984-09,2,Fuel Oil
465,49.3,"Index, 2014=100",1984-10,2,Fuel Oil
466,49.3,"Index, 2014=100",1984-11,2,Fuel Oil
467,49.3,"Index, 2014=100",1984-12,2,Fuel Oil
468,49.3,"Index, 2014=100",1985-01,2,Fuel Oil
469,49.3,"Index, 2014=100",1985-02,2,Fuel Oil
470,49.3,"Index, 2014=100",1985-03,2,Fuel Oil
471,49.3,"Index, 2014=100",1985-04,2,Fuel Oil
472,49.3,"Index, 2014=100",1985-05,2,Fuel Oil
473,49.3,"Index, 2014=100",1985-06,2,Fuel Oil
474,49.3,"Index, 2014=100",1985-07,2,Fuel Oil
475,49.3,"Index, 2014=100",1985-08,2,Fuel Oil
476,49.3,"Index, 2014=100",1985-09,2,Fuel Oil
477,49.3,"Index, 2014=100",1985-10,2,Fuel Oil
478,49.3,"Index, 2014=100",1985-11,2,Fuel Oil
479,49.3,"Index, 2014=100",1985-12,2,Fuel Oil
480,49.3,"Index, 2014=100",1986-01,2,Fuel Oil
481,49.3,"Index, 2014=100",1986-02,2,Fuel Oil
482,49.3,"Index, 2014=100",1986-03,2,Fuel Oil
483,49.3,"Index, 2014=100",1986-04,2,Fuel Oil
484,49.3,"Index, 2014=100",1986-05,2,Fuel Oil
485,49.3,"Index, 2014=100",1986-06,2,Fuel Oil
486,49.3,"Index, 2014=100",1986-07,2,Fuel Oil
487,49.3,"Index, 2014=100",1986-08,2,Fuel Oil
488,49.3,"Index, 2014=100",1986-09,2,Fuel Oil
489,49.3,"Index, 2014=100",1986-10,2,Fuel Oil
490,49.3,"Index, 2014=100",1986-11,2,Fuel Oil
491,49.3,"Index, 2014=100",1986-12,2,Fuel Oil
492,49.3,"Index, 2014=100",1987-01,2,Fuel Oil
493,49.3,"Index, 2014=100",1987-02,2,Fuel Oil
494,49.3,"Index, 2014=100",1987-03,2,Fuel Oil
495,49.3,"Index, 2014=100",1987-04,2,Fuel Oil
496,49.3,"Index, 2014=100",1987-05,2,Fuel Oil
497,49.3,"Index, 2014=100",1987-06,2,Fuel Oil
498,49.3,"Index, 2014=100",1987-07,2,Fuel Oil
499,49.3,"Index, 2014=100",1987-08,2,Fuel Oil
500,49.3,"Index, 2014=100",1987-09,2,Fuel Oil
501,49.3,"Index, 2014=100",1987-10,2,Fuel Oil
502,49.3,"Index, 2014=100",1987-11,2,Fuel Oil
503,49.3,"Index, 2014=100",1987-12,2,Fuel Oil
504,49.3,"Index, 2014=100",1988-01,2,Fuel Oil
505,49.3,"Index, 2014=100",1988-02,2,Fuel Oil
506,49.3,"Index, 2014=100",1988-03,2,Fuel Oil
507,49.3,"Index, 2014=100",1988-04,2,Fuel Oil
508,49.3,"Index, 2014=100",1988-05,2,Fuel Oil
509,49.3,"Index, 2014=100",1988-06,2,Fuel Oil
510,49.3,"Index, 2014=100",1988-07,2,Fuel Oil
511,49.3,"Index, 2014=100",1988-08,2,Fuel Oil
512,49.3,"Index, 2014=100",1988-09,2,Fuel Oil
513,49.3,"Index, 2014=100",1988-10,2,Fuel Oil
514,49.3,"Index, 2014=100",1988-11,2,Fuel Oil
515,49.3,"Index, 2014=100",1988-12,2,Fuel Oil
516,49.3,"Index, 2014=100",1989-01,2,Fuel Oil
517,49.3,"Index, 2014=100",1989-02,2,Fuel Oil
518,49.3,"Index, 2014=100",1989-03,2,Fuel Oil
519,52.1,"Index, 2014=100",1989-04,2,Fuel Oil
520,52.1,"Index, 2014=100",1989-05,2,Fuel Oil
521,52.1,"Index, 2014=100",1989-06,2,Fuel Oil
522,52.1,"Index, 2014=100",1989-07,2,Fuel Oil
523,52.1,"Index, 2014=100",1989-08,2,Fuel Oil
524,52.1,"Index, 2014=100",1989-09,2,Fuel Oil
525,52.1,"Index, 2014=100",1989-10,2,Fuel Oil
526,52.1,"Index, 2014=100",1989-11,2,Fuel Oil
527,52.1,"Index, 2014=100",1989-12,2,Fuel Oil
