,Building_ID,Building_Name,Year_Built,Total_Sqft,Building_Classification,Building_Use,Facility
130186,BL86323,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130187,BL86324,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130188,BL86325,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130189,BL86326,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130190,BL86327,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130191,BL86328,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130194,BL86329,Unknown,2013.0,,Commercial,STRIP MALL,Other
130198,BL86330,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130199,BL86331,Unknown,2013.0,,Residential,RESIDENTIAL,Other
130200,BL86332,Unknown,2007.0,,Residential,RESIDENTIAL,Other
